script,category,has_argparse,has_year_args,has_date_window,has_drop_table,has_create_view,recommended_action
backfill_valuation_percentile_cache.py,windowized_cache_script,True,False,True,False,False,已接入 build-features valuation_size post-step；daily-core 日批刷新，full 作为周批/显式维护
build_phase3_capital_flow_caches.py,windowized_cache_script,True,False,True,False,False,已接入 build-features capital_flow post-step；仍支持 --start-date/--end-date 独立窗口刷新
build_phase3_composite_state_core.py,unified_builder_backend,True,True,True,False,False,已接入 build_composite_state 统一 builder；保留为完整 SQL 后端和全量重建参考
build_phase3_concept_stock_context_cache.py,windowized_cache_script,True,True,True,False,False,已接入 build-features sector_concept_context pre-step；daily-core 日批刷新静态和20日字段，full 维护完整多周期
build_phase3_corporate_action_core.py,unified_builder_backend,True,True,True,False,False,已接入 build_corporate_action 统一 builder；保留为完整 SQL 后端和全量重建参考
build_phase3_cross_sectional_core.py,unified_builder_backend,True,True,True,False,False,已接入 build_cross_sectional 统一 builder；保留为完整 SQL 后端和全量重建参考
build_phase3_index_market_core.py,unified_builder_backend,True,False,True,False,False,已接入 build_index_market_context 统一 builder；脚本支持 --start-date/--end-date 窗口刷新
build_phase3_index_membership_cache.py,windowized_cache_script,True,False,True,False,False,保留为指数成分缓存单表快捷刷新入口；日批由 build_phase3_sector_index_caches.py 统一刷新，避免重复
build_phase3_ownership_governance_core.py,unified_builder_backend,True,True,True,False,False,已接入 build_ownership_governance 统一 builder；保留为完整 SQL 后端和全量重建参考
build_phase3_sector_concept_core.py,unified_builder_backend,True,True,True,False,False,已接入 build_sector_concept_context 统一 builder；保留为完整 SQL 后端和全量重建参考
build_phase3_sector_index_caches.py,windowized_cache_script,True,False,True,False,False,已接入 build-features sector_concept_context/index_market_context pre-step；daily-core 日批刷新核心周期，full 维护完整多周期
create_phase3_capital_flow_full_view.py,view_rebuild_only,False,False,False,False,True,保留为视图刷新脚本，可由 create-views 或模块 post-step 调用
create_phase3_composite_state_views.py,view_rebuild_only,False,False,False,False,True,保留为视图刷新脚本，可由 create-views 或模块 post-step 调用
create_phase3_corporate_action_views.py,view_rebuild_only,False,False,False,False,True,保留为视图刷新脚本，可由 create-views 或模块 post-step 调用
create_phase3_cross_sectional_full_view.py,view_rebuild_only,False,False,False,False,True,保留为视图刷新脚本，可由 create-views 或模块 post-step 调用
create_phase3_financial_growth_full_view.py,view_rebuild_only,False,False,True,False,True,保留为视图刷新脚本，可由 create-views 或模块 post-step 调用
create_phase3_ownership_governance_views.py,view_rebuild_only,False,False,False,False,True,保留为视图刷新脚本，可由 create-views 或模块 post-step 调用
